onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,source,min_education
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Finance,Commerce,C,E,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Active Learning, Writing",onet,Bachelor's or equivalent
11-9199.02,Compliance Managers,Management,Commerce,C,E,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Writing, Active Learning",onet,Bachelor's or equivalent
13-1041.00,Compliance Officers,Finance,Commerce,C,E,"Reading Comprehension, Speaking, Active Listening, Writing, Judgment and Decision Making, Critical Thinking",onet,Bachelor's or equivalent
15-1221.00,Computer and Information Research Scientists,Technology,Science,I,C,"Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Active Listening, Reading Comprehension, Systems Analysis",onet,Bachelor's or equivalent
11-3021.00,Computer and Information Systems Managers,Management,Commerce,C,E,"Critical Thinking, Active Listening, Reading Comprehension, Judgment and Decision Making, Monitoring, Speaking",onet,Bachelor's or equivalent
17-2061.00,Computer Hardware Engineers,Engineering,Science,R,I,"Critical Thinking, Reading Comprehension, Active Listening, Complex Problem Solving, Speaking, Writing",onet,Bachelor's or equivalent
15-1241.00,Computer Network Architects,Technology,Science,I,C,"Critical Thinking, Reading Comprehension, Complex Problem Solving, Programming, Systems Evaluation, Active Listening",onet,Bachelor's or equivalent
15-1231.00,Computer Network Support Specialists,Technology,Science,C,I,"Critical Thinking, Active Listening, Judgment and Decision Making, Reading Comprehension, Active Learning, Complex Problem Solving",onet,Bachelor's or equivalent
51-9161.00,Computer Numerically Controlled Tool Operators,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Critical Thinking, Monitoring, Quality Control Analysis, Active Listening",onet,Bachelor's or equivalent
51-9162.00,Computer Numerically Controlled Tool Programmers,Manufacturing,Vocational,C,R,"Programming, Monitoring, Complex Problem Solving, Mathematics, Operations Monitoring, Systems Analysis",onet,Bachelor's or equivalent
15-1251.00,Computer Programmers,Technology,Science,C,I,"Programming, Active Listening, Complex Problem Solving, Critical Thinking, Quality Control Analysis, Reading Comprehension",onet,Bachelor's or equivalent
25-1021.00,"Computer Science Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Reading Comprehension, Speaking, Writing, Active Learning, Active Listening",onet,Bachelor's or equivalent
15-1211.00,Computer Systems Analysts,Technology,Science,I,C,"Speaking, Reading Comprehension, Active Listening, Critical Thinking, Systems Analysis, Systems Evaluation",onet,Bachelor's or equivalent
15-1299.08,Computer Systems Engineers/Architects,Technology,Science,C,I,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Systems Analysis, Systems Evaluation",onet,Bachelor's or equivalent
15-1232.00,Computer User Support Specialists,Technology,Science,C,R,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Complex Problem Solving, Writing",onet,Bachelor's or equivalent
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Maintenance & Repair,Vocational,R,C,"Active Listening, Repairing, Critical Thinking, Complex Problem Solving, Troubleshooting, Equipment Maintenance",onet,Bachelor's or equivalent
19-1031.00,Conservation Scientists,Research & Science,Science,I,R,"Active Listening, Reading Comprehension, Complex Problem Solving, Speaking, Critical Thinking, Science",onet,Bachelor's or equivalent
47-4011.00,Construction and Building Inspectors,Construction,Vocational,R,C,"Reading Comprehension, Critical Thinking, Active Listening, Speaking, Complex Problem Solving, Judgment and Decision Making",onet,Bachelor's or equivalent
11-9021.00,Construction Managers,Management,Commerce,E,C,"Judgment and Decision Making, Management of Personnel Resources, Active Listening, Complex Problem Solving, Coordination, Critical Thinking",onet,Bachelor's or equivalent
47-5041.00,Continuous Mining Machine Operators,Construction,Vocational,R,C,"Operation and Control, Operations Monitoring, Equipment Maintenance, Critical Thinking, Troubleshooting, Judgment and Decision Making",onet,Bachelor's or equivalent
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Maintenance & Repair,Vocational,R,C,"Critical Thinking, Repairing, Active Listening, Equipment Maintenance, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
53-7011.00,Conveyor Operators and Tenders,Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Monitoring, Active Listening, Complex Problem Solving, Critical Thinking",onet,Bachelor's or equivalent
35-2012.00,"Cooks, Institution and Cafeteria",Hospitality,Vocational,R,C,"Judgment and Decision Making, Monitoring, Operations Monitoring, Quality Control Analysis, Service Orientation, Speaking",onet,Bachelor's or equivalent
35-2013.00,"Cooks, Private Household",Hospitality,Vocational,R,S,"Critical Thinking, Service Orientation, Active Listening, Complex Problem Solving, Judgment and Decision Making, Monitoring",onet,Bachelor's or equivalent
35-2014.00,"Cooks, Restaurant",Hospitality,Vocational,R,C,"Critical Thinking, Monitoring, Speaking, Time Management",onet,Bachelor's or equivalent
35-2015.00,"Cooks, Short Order",Hospitality,Vocational,R,C,"Active Listening, Reading Comprehension, Time Management, Coordination, Service Orientation, Speaking",onet,Bachelor's or equivalent
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Critical Thinking, Complex Problem Solving, Monitoring, Equipment Maintenance",onet,Bachelor's or equivalent
43-4021.00,Correspondence Clerks,Administration,Commerce,C,E,"Writing, Active Listening, Reading Comprehension, Speaking, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
13-1051.00,Cost Estimators,Finance,Commerce,C,E,"Mathematics, Reading Comprehension, Speaking, Active Listening, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
41-2021.00,Counter and Rental Clerks,Sales,Commerce,C,E,"Active Listening, Service Orientation, Speaking, Reading Comprehension, Critical Thinking, Social Perceptiveness",onet,Bachelor's or equivalent
43-5021.00,Couriers and Messengers,Administration,Commerce,C,R,"Active Listening, Speaking, Time Management, Critical Thinking, Reading Comprehension, Service Orientation",onet,Bachelor's or equivalent
27-3092.00,Court Reporters and Simultaneous Captioners,Creative Arts,Arts,C,I,"Active Listening, Writing, Reading Comprehension, Monitoring, Speaking, Time Management",onet,Bachelor's or equivalent
43-4031.00,"Court, Municipal, and License Clerks",Administration,Commerce,C,E,"Active Listening, Speaking, Reading Comprehension, Writing, Critical Thinking, Social Perceptiveness",onet,Bachelor's or equivalent
27-1012.00,Craft Artists,Creative Arts,Arts,A,R,"Critical Thinking, Active Listening, Monitoring, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
53-7021.00,Crane and Tower Operators,Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Critical Thinking, Active Listening, Monitoring, Judgment and Decision Making",onet,Bachelor's or equivalent
13-2041.00,Credit Analysts,Finance,Commerce,C,E,"Critical Thinking, Active Learning, Reading Comprehension, Speaking, Active Listening, Mathematics",onet,Bachelor's or equivalent
43-4041.00,"Credit Authorizers, Checkers, and Clerks",Administration,Commerce,C,E,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Social Perceptiveness, Time Management",onet,Bachelor's or equivalent
13-2071.00,Credit Counselors,Finance,Commerce,C,S,"Speaking, Active Listening, Reading Comprehension, Critical Thinking, Writing, Active Learning",onet,Bachelor's or equivalent
39-4012.00,Crematory Operators,Personal Services,Vocational,R,C,,onet,Bachelor's or equivalent
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Active Listening, Critical Thinking, Active Learning, Instructing, Learning Strategies",onet,Bachelor's or equivalent
29-1141.03,Critical Care Nurses,Healthcare,Science,S,I,"Monitoring, Active Listening, Critical Thinking, Reading Comprehension, Service Orientation, Social Perceptiveness",onet,Bachelor's or equivalent
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Monitoring, Quality Control Analysis, Active Listening, Coordination",onet,Bachelor's or equivalent
25-4012.00,Curators,Education,Arts,C,E,"Reading Comprehension, Speaking, Active Listening, Writing, Critical Thinking, Complex Problem Solving",onet,Bachelor's or equivalent
43-4051.00,Customer Service Representatives,Administration,Commerce,C,E,"Active Listening, Service Orientation, Speaking, Reading Comprehension, Critical Thinking, Complex Problem Solving",onet,Bachelor's or equivalent
33-3051.04,Customs and Border Protection Officers,Public Safety,Vocational,C,E,"Active Listening, Critical Thinking, Speaking, Reading Comprehension, Social Perceptiveness, Judgment and Decision Making",onet,Bachelor's or equivalent
13-1041.08,Customs Brokers,Finance,Commerce,C,E,"Active Listening, Reading Comprehension, Complex Problem Solving, Critical Thinking, Speaking, Writing",onet,Bachelor's or equivalent
51-9031.00,"Cutters and Trimmers, Hand",Manufacturing,Vocational,R,C,,onet,Bachelor's or equivalent
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Quality Control Analysis, Monitoring, Reading Comprehension, Coordination",onet,Bachelor's or equivalent
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Active Listening, Critical Thinking, Monitoring, Quality Control Analysis",onet,Bachelor's or equivalent
29-2011.01,Cytogenetic Technologists,Healthcare,Science,I,R,"Critical Thinking, Reading Comprehension, Writing, Active Listening, Speaking, Judgment and Decision Making",onet,Bachelor's or equivalent
29-2011.02,Cytotechnologists,Healthcare,Science,I,R,"Reading Comprehension, Active Listening, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Speaking",onet,Bachelor's or equivalent
27-2031.00,Dancers,Creative Arts,Arts,A,R,"Active Listening, Coordination, Critical Thinking",onet,Bachelor's or equivalent
43-9021.00,Data Entry Keyers,Administration,Commerce,C,R,"Reading Comprehension, Active Listening, Monitoring, Time Management, Writing",onet,Bachelor's or equivalent
15-2051.00,Data Scientists,Technology,Science,I,C,,onet,Bachelor's or equivalent
15-1243.01,Data Warehousing Specialists,Technology,Science,C,I,"Critical Thinking, Reading Comprehension, Programming, Complex Problem Solving, Active Listening, Systems Analysis",onet,Bachelor's or equivalent
15-1242.00,Database Administrators,Technology,Science,C,I,"Complex Problem Solving, Critical Thinking, Active Listening, Judgment and Decision Making, Reading Comprehension, Active Learning",onet,Bachelor's or equivalent
15-1243.00,Database Architects,Technology,Science,C,I,"Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Systems Analysis, Active Listening",onet,Bachelor's or equivalent
41-9011.00,Demonstrators and Product Promoters,Sales,Commerce,E,C,"Active Listening, Speaking, Persuasion, Reading Comprehension, Service Orientation, Complex Problem Solving",onet,Bachelor's or equivalent
31-9091.00,Dental Assistants,Healthcare,Science,C,R,"Active Listening, Speaking, Reading Comprehension, Active Learning, Instructing, Monitoring",onet,Bachelor's or equivalent
29-1292.00,Dental Hygienists,Healthcare,Science,S,R,"Active Listening, Critical Thinking, Speaking, Monitoring, Service Orientation, Social Perceptiveness",onet,Bachelor's or equivalent
51-9081.00,Dental Laboratory Technicians,Manufacturing,Vocational,R,I,"Reading Comprehension, Critical Thinking, Time Management, Judgment and Decision Making, Operations Monitoring, Active Learning",onet,Bachelor's or equivalent
29-1021.00,"Dentists, General",Healthcare,Science,I,R,"Critical Thinking, Judgment and Decision Making, Active Listening, Complex Problem Solving, Monitoring, Reading Comprehension",onet,Bachelor's or equivalent
29-1213.00,Dermatologists,Healthcare,Science,I,R,"Critical Thinking, Active Listening, Service Orientation, Reading Comprehension, Social Perceptiveness, Speaking",onet,Bachelor's or equivalent
47-5011.00,"Derrick Operators, Oil and Gas",Construction,Vocational,R,C,"Operations Monitoring, Operation and Control, Critical Thinking, Monitoring, Repairing, Speaking",onet,Bachelor's or equivalent
43-9031.00,Desktop Publishers,Administration,Commerce,C,A,"Critical Thinking, Reading Comprehension, Judgment and Decision Making, Active Listening, Speaking, Complex Problem Solving",onet,Bachelor's or equivalent
33-3021.00,Detectives and Criminal Investigators,Public Safety,Vocational,I,C,"Active Listening, Speaking, Critical Thinking, Complex Problem Solving, Reading Comprehension, Social Perceptiveness",onet,Bachelor's or equivalent
29-2032.00,Diagnostic Medical Sonographers,Healthcare,Science,R,C,"Active Listening, Reading Comprehension, Social Perceptiveness, Speaking, Critical Thinking, Monitoring",onet,Bachelor's or equivalent
29-2051.00,Dietetic Technicians,Healthcare,Science,S,C,"Speaking, Active Listening, Active Learning, Complex Problem Solving, Critical Thinking, Instructing",onet,Bachelor's or equivalent
29-1031.00,Dietitians and Nutritionists,Healthcare,Science,S,I,"Active Listening, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Social Perceptiveness, Speaking",onet,Bachelor's or equivalent
15-1299.06,Digital Forensics Analysts,Technology,Science,I,C,,onet,Bachelor's or equivalent
21-2021.00,"Directors, Religious Activities and Education",Social Service,Arts,S,E,"Speaking, Active Listening, Social Perceptiveness, Active Learning, Critical Thinking, Instructing",onet,Bachelor's or equivalent
27-2091.00,"Disc Jockeys, Except Radio",Creative Arts,Arts,A,E,,onet,Bachelor's or equivalent
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Administration,Commerce,C,R,"Active Listening, Speaking, Coordination, Monitoring, Reading Comprehension, Time Management",onet,Bachelor's or equivalent
15-1299.03,Document Management Specialists,Technology,Science,C,I,"Reading Comprehension, Active Listening, Critical Thinking, Writing, Complex Problem Solving, Monitoring",onet,Bachelor's or equivalent
53-7031.00,Dredge Operators,Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Coordination, Critical Thinking, Judgment and Decision Making",onet,Bachelor's or equivalent
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,Vocational,R,C,"Operations Monitoring, Monitoring, Operation and Control, Reading Comprehension, Active Listening, Complex Problem Solving",onet,Bachelor's or equivalent
47-2081.00,Drywall and Ceiling Tile Installers,Construction,Vocational,R,C,Critical Thinking,onet,Bachelor's or equivalent
47-5023.00,"Earth Drillers, Except Oil and Gas",Construction,Vocational,R,C,"Operations Monitoring, Operation and Control, Critical Thinking, Equipment Maintenance, Monitoring, Active Listening",onet,Bachelor's or equivalent
25-1063.00,"Economics Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Active Listening, Instructing, Reading Comprehension, Writing, Critical Thinking",onet,Bachelor's or equivalent
19-3011.00,Economists,Research & Science,Science,I,C,"Critical Thinking, Mathematics, Reading Comprehension, Active Listening, Judgment and Decision Making, Speaking",onet,Bachelor's or equivalent
27-3041.00,Editors,Creative Arts,Arts,A,C,"Reading Comprehension, Writing, Active Listening, Critical Thinking, Speaking, Time Management",onet,Bachelor's or equivalent
11-9032.00,"Education Administrators, Kindergarten through Secondary",Management,Commerce,S,E,"Speaking, Active Listening, Judgment and Decision Making, Learning Strategies, Critical Thinking, Reading Comprehension",onet,Bachelor's or equivalent
11-9033.00,"Education Administrators, Postsecondary",Management,Commerce,S,E,"Critical Thinking, Reading Comprehension, Active Listening, Instructing, Monitoring, Speaking",onet,Bachelor's or equivalent
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Management,Commerce,S,E,"Active Listening, Coordination, Critical Thinking, Monitoring, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
25-1081.00,"Education Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Reading Comprehension, Active Listening, Instructing, Learning Strategies, Active Learning",onet,Bachelor's or equivalent
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Social Service,Arts,S,C,"Active Listening, Social Perceptiveness, Speaking, Service Orientation, Critical Thinking, Reading Comprehension",onet,Bachelor's or equivalent
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Maintenance & Repair,Vocational,R,C,"Repairing, Equipment Maintenance, Troubleshooting, Critical Thinking, Equipment Selection, Quality Control Analysis",onet,Bachelor's or equivalent
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Engineering,Science,R,I,"Reading Comprehension, Critical Thinking, Active Listening, Repairing, Troubleshooting, Complex Problem Solving",onet,Bachelor's or equivalent
51-2022.00,Electrical and Electronic Equipment Assemblers,Manufacturing,Vocational,R,C,"Reading Comprehension, Judgment and Decision Making, Monitoring, Operations Monitoring, Active Listening, Coordination",onet,Bachelor's or equivalent
17-3012.00,Electrical and Electronics Drafters,Engineering,Science,R,C,"Active Listening, Critical Thinking, Judgment and Decision Making, Writing, Complex Problem Solving, Reading Comprehension",onet,Bachelor's or equivalent
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Maintenance & Repair,Vocational,R,C,"Critical Thinking, Active Listening, Operations Monitoring, Quality Control Analysis, Complex Problem Solving, Monitoring",onet,Bachelor's or equivalent
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Maintenance & Repair,Vocational,R,C,"Operations Monitoring, Repairing, Critical Thinking, Equipment Maintenance, Quality Control Analysis, Troubleshooting",onet,Bachelor's or equivalent
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Maintenance & Repair,Vocational,R,C,"Critical Thinking, Equipment Maintenance, Repairing, Troubleshooting, Reading Comprehension, Operations Monitoring",onet,Bachelor's or equivalent
17-2071.00,Electrical Engineers,Engineering,Science,R,I,"Writing, Critical Thinking, Reading Comprehension, Active Learning, Active Listening, Complex Problem Solving",onet,Bachelor's or equivalent
49-9051.00,Electrical Power-Line Installers and Repairers,Maintenance & Repair,Vocational,R,C,"Active Listening, Troubleshooting, Monitoring, Operation and Control, Operations Monitoring, Complex Problem Solving",onet,Bachelor's or equivalent
47-2111.00,Electricians,Construction,Vocational,R,C,"Troubleshooting, Repairing, Active Listening, Critical Thinking, Speaking, Active Learning",onet,Bachelor's or equivalent
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Engineering,Science,R,C,"Operations Monitoring, Troubleshooting, Monitoring, Repairing, Critical Thinking, Quality Control Analysis",onet,Bachelor's or equivalent
51-2023.00,Electromechanical Equipment Assemblers,Manufacturing,Vocational,R,C,"Operations Monitoring, Quality Control Analysis, Critical Thinking, Reading Comprehension, Speaking, Troubleshooting",onet,Bachelor's or equivalent
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Critical Thinking, Operations Monitoring, Active Listening, Equipment Maintenance",onet,Bachelor's or equivalent
17-2072.00,"Electronics Engineers, Except Computer",Engineering,Science,R,I,"Complex Problem Solving, Critical Thinking, Reading Comprehension, Speaking, Active Listening, Judgment and Decision Making",onet,Bachelor's or equivalent
25-2021.00,"Elementary School Teachers, Except Special Education",Education,Arts,S,I,"Instructing, Learning Strategies, Speaking, Active Listening, Critical Thinking, Monitoring",onet,Bachelor's or equivalent
47-4021.00,Elevator and Escalator Installers and Repairers,Construction,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Critical Thinking, Operations Monitoring, Installation",onet,Bachelor's or equivalent
43-4061.00,"Eligibility Interviewers, Government Programs",Administration,Commerce,C,S,"Speaking, Active Listening, Reading Comprehension, Social Perceptiveness, Writing, Service Orientation",onet,Bachelor's or equivalent
39-4011.00,Embalmers,Personal Services,Vocational,R,C,"Speaking, Active Listening, Critical Thinking, Service Orientation, Social Perceptiveness, Time Management",onet,Bachelor's or equivalent
11-9161.00,Emergency Management Directors,Management,Commerce,E,C,"Service Orientation, Complex Problem Solving, Speaking, Active Listening, Coordination, Critical Thinking",onet,Bachelor's or equivalent
29-2042.00,Emergency Medical Technicians,Healthcare,Science,S,R,,onet,Bachelor's or equivalent
29-1214.00,Emergency Medicine Physicians,Healthcare,Science,I,S,"Active Listening, Critical Thinking, Reading Comprehension, Social Perceptiveness, Speaking, Complex Problem Solving",onet,Bachelor's or equivalent
31-9099.02,Endoscopy Technicians,Healthcare,Science,R,C,"Active Listening, Reading Comprehension, Critical Thinking, Social Perceptiveness, Active Learning, Monitoring",onet,Bachelor's or equivalent
47-4011.01,Energy Auditors,Construction,Vocational,C,R,"Reading Comprehension, Speaking, Active Listening, Critical Thinking, Judgment and Decision Making, Writing",onet,Bachelor's or equivalent
17-2199.03,"Energy Engineers, Except Wind and Solar",Engineering,Science,R,I,"Reading Comprehension, Critical Thinking, Active Listening, Complex Problem Solving, Monitoring, Systems Analysis",onet,Bachelor's or equivalent
51-2031.00,Engine and Other Machine Assemblers,Manufacturing,Vocational,R,C,"Operations Monitoring, Quality Control Analysis, Reading Comprehension, Active Listening, Critical Thinking, Monitoring",onet,Bachelor's or equivalent
25-1032.00,"Engineering Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Learning Strategies, Speaking, Active Listening, Reading Comprehension, Critical Thinking",onet,Bachelor's or equivalent
25-1123.00,"English Language and Literature Teachers, Postsecondary",Education,Arts,S,I,"Reading Comprehension, Instructing, Writing, Speaking, Active Listening, Learning Strategies",onet,Bachelor's or equivalent
13-1041.01,Environmental Compliance Inspectors,Finance,Commerce,C,I,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Writing, Active Learning",onet,Bachelor's or equivalent
19-3011.01,Environmental Economists,Research & Science,Science,I,E,"Writing, Active Listening, Critical Thinking, Mathematics, Reading Comprehension, Active Learning",onet,Bachelor's or equivalent
17-3025.00,Environmental Engineering Technologists and Technicians,Engineering,Science,R,I,"Active Listening, Critical Thinking, Reading Comprehension, Active Learning, Monitoring, Science",onet,Bachelor's or equivalent
17-2081.00,Environmental Engineers,Engineering,Science,I,R,"Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Speaking, Writing",onet,Bachelor's or equivalent
19-2041.02,Environmental Restoration Planners,Research & Science,Science,I,R,"Critical Thinking, Active Listening, Complex Problem Solving, Judgment and Decision Making, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Research & Science,Science,R,I,"Reading Comprehension, Active Listening, Speaking, Writing, Critical Thinking, Monitoring",onet,Bachelor's or equivalent
25-1053.00,"Environmental Science Teachers, Postsecondary",Education,Arts,I,S,"Reading Comprehension, Speaking, Active Listening, Critical Thinking, Instructing, Learning Strategies",onet,Bachelor's or equivalent
19-2041.00,"Environmental Scientists and Specialists, Including Health",Research & Science,Science,I,R,"Active Listening, Complex Problem Solving, Reading Comprehension, Science, Speaking, Writing",onet,Bachelor's or equivalent
19-1041.00,Epidemiologists,Research & Science,Science,I,S,"Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Active Listening, Science",onet,Bachelor's or equivalent
13-1041.03,Equal Opportunity Representatives and Officers,Finance,Commerce,E,C,"Active Listening, Reading Comprehension, Critical Thinking, Social Perceptiveness, Speaking, Writing",onet,Bachelor's or equivalent
51-9194.00,Etchers and Engravers,Manufacturing,Vocational,R,A,"Monitoring, Operations Monitoring, Reading Comprehension, Active Listening, Critical Thinking, Operation and Control",onet,Bachelor's or equivalent
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Construction,Vocational,R,C,"Operation and Control, Operations Monitoring, Monitoring, Active Learning, Active Listening, Complex Problem Solving",onet,Bachelor's or equivalent
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Administration,Commerce,C,E,"Active Listening, Reading Comprehension, Speaking, Service Orientation, Writing, Coordination",onet,Bachelor's or equivalent
29-1128.00,Exercise Physiologists,Healthcare,Science,R,I,"Active Listening, Critical Thinking, Instructing, Reading Comprehension, Speaking, Writing",onet,Bachelor's or equivalent
39-9031.00,Exercise Trainers and Group Fitness Instructors,Personal Services,Vocational,S,R,"Instructing, Service Orientation, Speaking, Active Listening, Learning Strategies, Social Perceptiveness",onet,Bachelor's or equivalent
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Construction,Vocational,R,C,"Active Listening, Monitoring, Critical Thinking, Judgment and Decision Making, Operation and Control, Operations Monitoring",onet,Bachelor's or equivalent
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Critical Thinking, Judgment and Decision Making, Monitoring, Quality Control Analysis",onet,Bachelor's or equivalent
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Monitoring, Active Listening, Complex Problem Solving, Coordination",onet,Bachelor's or equivalent
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Monitoring, Speaking, Active Listening, Critical Thinking",onet,Bachelor's or equivalent
51-6092.00,Fabric and Apparel Patternmakers,Manufacturing,Vocational,R,A,"Critical Thinking, Active Listening, Judgment and Decision Making, Time Management, Active Learning, Mathematics",onet,Bachelor's or equivalent
11-3013.00,Facilities Managers,Management,Commerce,E,C,"Speaking, Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Coordination",onet,Bachelor's or equivalent
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Active Listening, Instructing, Learning Strategies, Reading Comprehension, Critical Thinking",onet,Bachelor's or equivalent
29-1215.00,Family Medicine Physicians,Healthcare,Science,S,I,"Critical Thinking, Active Listening, Reading Comprehension, Speaking, Writing, Active Learning",onet,Bachelor's or equivalent
25-9021.00,Farm and Home Management Educators,Education,Arts,S,I,"Active Listening, Speaking, Reading Comprehension, Instructing, Judgment and Decision Making, Social Perceptiveness",onet,Bachelor's or equivalent
49-3041.00,Farm Equipment Mechanics and Service Technicians,Maintenance & Repair,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Operation and Control, Critical Thinking, Complex Problem Solving",onet,Bachelor's or equivalent
13-1074.00,Farm Labor Contractors,Finance,Commerce,E,R,"Speaking, Active Listening, Management of Personnel Resources, Time Management, Coordination, Critical Thinking",onet,Bachelor's or equivalent
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Management,Commerce,E,R,"Active Listening, Critical Thinking, Reading Comprehension, Complex Problem Solving, Management of Personnel Resources, Speaking",onet,Bachelor's or equivalent
27-1022.00,Fashion Designers,Creative Arts,Arts,A,R,"Active Listening, Critical Thinking, Speaking, Active Learning, Coordination, Judgment and Decision Making",onet,Bachelor's or equivalent
47-4031.00,Fence Erectors,Construction,Vocational,R,C,"Active Listening, Coordination, Critical Thinking, Monitoring, Speaking, Time Management",onet,Bachelor's or equivalent
51-2051.00,Fiberglass Laminators and Fabricators,Manufacturing,Vocational,R,C,"Monitoring, Operations Monitoring, Active Listening, Complex Problem Solving, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
43-4071.00,File Clerks,Administration,Commerce,C,I,"Reading Comprehension, Active Listening, Speaking, Monitoring, Service Orientation, Writing",onet,Bachelor's or equivalent
27-4032.00,Film and Video Editors,Creative Arts,Arts,A,C,"Active Listening, Critical Thinking, Reading Comprehension, Active Learning, Complex Problem Solving, Speaking",onet,Bachelor's or equivalent
13-2051.00,Financial and Investment Analysts,Finance,Commerce,C,E,,onet,Bachelor's or equivalent
13-2061.00,Financial Examiners,Finance,Commerce,C,E,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Writing, Complex Problem Solving",onet,Bachelor's or equivalent
11-3031.00,Financial Managers,Management,Commerce,E,C,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Monitoring, Writing",onet,Bachelor's or equivalent
13-2099.01,Financial Quantitative Analysts,Finance,Commerce,I,C,"Mathematics, Critical Thinking, Reading Comprehension, Complex Problem Solving, Active Learning, Active Listening",onet,Bachelor's or equivalent
13-2054.00,Financial Risk Specialists,Finance,Commerce,C,I,,onet,Bachelor's or equivalent
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Creative Arts,Arts,A,R,"Active Learning, Critical Thinking, Active Listening, Judgment and Decision Making, Reading Comprehension, Speaking",onet,Bachelor's or equivalent
